Function,R2 Score,time
I.12.1,0.990063488483429,1.74840540002333
I.12.4,0.990006148815155,2.4996121000149287
I.12.5,0.9900360107421875,1.5428888999740593
I.14.3,0.9900104403495789,2.8000087000546046
I.14.4,0.9901224374771118,1.616472400026396
I.18.12,0.9170833230018616,6.759965699980967
I.25.13,0.9900134205818176,1.5406687000067905
I.26.2,0.9900335669517517,1.3647396999876946
I.27.6,0.9900127053260803,3.9496060000383295
I.30.5,0.9901428818702698,1.1888791999663226
I.43.16,0.9900719523429871,2.504683599981945
I.47.23,0.9900923371315002,3.272593399975449
II.10.9,0.9901612401008606,2.5872666999930516
II.11.17,0.8717150688171387,7.462374699942302
II.15.4,0.9901275634765625,2.6794649999937974
II.15.5,0.9900127053260803,3.2413874000194483
II.2.42,0.9900054931640625,5.913525600044522
II.27.16,0.9901441335678101,2.613412700011395
II.27.18,0.9901432394981384,2.233208299963735
II.3.24,0.990036129951477,2.4177617999957874
II.34.11,0.9900702238082886,5.355673599988222
II.34.29b,0.9872105121612549,7.262781500001438
II.38.14,0.9900745749473572,1.988973600033205
II.38.3,0.990013837814331,3.8017054999945685
II.4.23,0.9902001023292542,4.098218300030567
II.8.31,0.990312933921814,0.8054895999957807
III.12.43,0.9900637865066528,1.2951421000179835
III.15.27,0.9827954173088074,6.948580999975093
III.7.38,0.9900137186050415,2.9645652000326663
